City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Tautira,PF,80.74,overcast clouds,-17.7333,-149.15,Pension Oaoa
3,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
4,Liku,ID,77.45,broken clouds,-0.7275,119.8922,Wahyu
5,Rikitea,PF,78.42,broken clouds,-23.1203,-134.9692,People ThankYou
7,Quelimane,MZ,85.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
8,Castro,BR,75.69,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
10,Alma,CA,33.42,overcast clouds,48.5501,-71.6491,Hotel Universel
12,Busselton,AU,71.49,scattered clouds,-33.65,115.3333,Observatory Guest House
14,Port Alfred,ZA,76.17,few clouds,-33.5906,26.891,The Halyards Hotel
15,Yeppoon,AU,71.38,moderate rain,-23.1333,150.7333,Villa Mar Colina
16,Kaitangata,NZ,54.05,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
17,Sesheke,ZM,73.09,moderate rain,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
18,Kushima,JP,52.05,overcast clouds,31.4583,131.2333,Hanaoka
19,Kodiak,US,40.51,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
21,Torbay,CA,32.88,heavy snow,47.6666,-52.7314,Gallows Cove
23,West Bay,KY,84.27,scattered clouds,19.3667,-81.4167,Calypso Cove
25,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
26,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
27,Nieuwpoort,BE,63.23,few clouds,51.1244,2.7735,Hotel Gemeente Huis
28,Sitka,US,39.09,light rain,57.0531,-135.33,Westmark Sitka
30,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
31,Kapaa,US,69.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Butaritari,KI,80.62,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Bengkulu,ID,76.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,Jamestown,US,40.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Tshikapa,CD,76.57,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
40,Bluff,NZ,59.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
41,Trincomalee,LK,80.28,scattered clouds,8.5711,81.2335,Welcombe Hotel
44,De Panne,BE,63.23,few clouds,51.0792,2.5917,Hotel aan Zee
45,Palmer,US,45.64,broken clouds,42.1584,-72.3287,Wedgewood Motel
47,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
48,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
51,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Albatross Hotel
52,Mehamn,NO,38.55,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
53,Lasa,IT,50.88,clear sky,46.6166,10.7002,Pension Feldgärtenhof
54,Bredasdorp,ZA,74.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
56,Roanoke,US,46.94,overcast clouds,37.271,-79.9414,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton"
58,Copiapo,CL,65.89,clear sky,-27.3667,-70.3333,Antay Casino Hotel
59,Tucupita,VE,83.34,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
60,Klaksvik,FO,43.72,overcast clouds,62.2266,-6.589,Airbnb rooms
61,Korla,CN,51.98,broken clouds,41.7597,86.1469,Gulisitan Hotel
64,Bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
65,Mercedes,AR,76.64,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
66,Rondonopolis,BR,86.25,broken clouds,-16.4708,-54.6356,Serras Hotel
67,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
68,Da Lat,VN,58.77,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
69,New Norfolk,AU,54.9,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
71,Hobart,AU,55.26,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
74,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
75,Saint-Philippe,RE,81.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Iquique,CL,75.24,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
77,Porto Seguro,BR,84.72,moderate rain,-16.4497,-39.0647,Porto Cálem Praia Hotel
78,Port Blair,IN,82.44,thunderstorm,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
