City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Belaya Gora,RU,2022-03-10 15:33:44,68.5333,146.4167,-16.24,100,100,2.62,overcast clouds
1,Tautira,PF,2022-03-10 15:33:45,-17.7333,-149.15,80.74,72,91,12.12,overcast clouds
2,Avera,US,2022-03-10 15:33:45,33.194,-82.5271,56.71,95,100,3.91,light rain
3,Punta Arenas,CL,2022-03-10 15:33:46,-53.15,-70.9167,50.11,53,0,8.05,clear sky
4,Liku,ID,2022-03-10 15:33:46,-0.7275,119.8922,77.45,91,77,3.18,broken clouds
5,Rikitea,PF,2022-03-10 15:33:47,-23.1203,-134.9692,78.42,69,79,6.87,broken clouds
6,High Level,CA,2022-03-10 15:33:47,58.5169,-117.136,-11.09,77,0,3.44,clear sky
7,Quelimane,MZ,2022-03-10 15:33:48,-17.8786,36.8883,85.95,70,40,17.27,scattered clouds
8,Castro,BR,2022-03-10 15:33:48,-24.7911,-50.0119,75.69,80,53,5.91,broken clouds
9,Albany,US,2022-03-10 15:32:07,42.6001,-73.9662,36.95,88,21,2.8,few clouds
10,Alma,CA,2022-03-10 15:33:25,48.5501,-71.6491,33.42,78,96,11.77,overcast clouds
11,Clyde River,CA,2022-03-10 15:33:49,70.4692,-68.5914,-21.77,76,0,0.0,clear sky
12,Busselton,AU,2022-03-10 15:33:49,-33.65,115.3333,71.49,52,48,9.89,scattered clouds
13,Farah,AF,2022-03-10 15:33:50,32.5,62.5,72.54,31,78,6.38,broken clouds
14,Port Alfred,ZA,2022-03-10 15:33:50,-33.5906,26.891,76.17,78,23,12.33,few clouds
15,Yeppoon,AU,2022-03-10 15:33:51,-23.1333,150.7333,71.38,91,100,8.05,moderate rain
16,Kaitangata,NZ,2022-03-10 15:33:51,-46.2817,169.8464,54.05,97,69,3.62,broken clouds
17,Sesheke,ZM,2022-03-10 15:33:52,-17.4759,24.2968,73.09,83,98,8.66,moderate rain
18,Kushima,JP,2022-03-10 15:33:52,31.4583,131.2333,52.05,75,100,3.67,overcast clouds
