City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2021-11-01 01:03:11,65.6145,-37.6368,23.16,58,9,8.23
1,Mar Del Plata,AR,2021-11-01 00:58:50,-38.0023,-57.5575,55.09,90,90,5.01
2,Vaini,TO,2021-11-01 01:01:21,-21.2,-175.2,75.49,78,93,16.31
3,Rikitea,PF,2021-11-01 01:02:06,-23.1203,-134.9692,73.08,78,100,17.69
4,Busselton,AU,2021-11-01 00:58:31,-33.65,115.3333,60.04,62,94,18.41
5,Hithadhoo,MV,2021-11-01 00:59:08,-0.6,73.0833,81.81,77,100,19.64
6,Butaritari,KI,2021-11-01 00:58:32,3.0707,172.7902,81.81,76,1,11.54
7,Krasnooktyabrskiy,RU,2021-11-01 01:03:15,44.9328,38.3712,45.09,73,100,4.14
8,Lagoa,PT,2021-11-01 01:03:16,39.05,-27.9833,68.16,92,100,9.4
9,Te Anau,NZ,2021-11-01 01:03:17,-45.4167,167.7167,54.48,69,100,7.74
10,Longyearbyen,SJ,2021-11-01 01:03:10,78.2186,15.6401,33.64,69,40,20.71
11,Viedma,AR,2021-11-01 01:03:18,-40.8135,-62.9967,50.43,74,100,7.74
12,Chenzhou,CN,2021-11-01 01:03:19,25.8,113.0333,59.81,98,100,2.13
13,Qiongshan,CN,2021-11-01 01:03:20,20.0058,110.3542,77.56,86,14,10.78
14,Oksfjord,NO,2021-11-01 01:03:21,70.2396,22.3479,38.32,91,86,12.08
15,Airai,TL,2021-11-01 01:02:44,-8.9266,125.4092,73.96,47,55,2.13
16,Puerto Ayora,EC,2021-11-01 00:58:41,-0.7393,-90.3518,69.6,90,44,7.31
17,Katsuura,JP,2021-11-01 01:03:22,35.1333,140.3,68.18,83,100,6.42
18,Sibolga,ID,2021-11-01 00:58:56,1.7427,98.7792,77.83,85,100,0.13
19,Hermanus,ZA,2021-11-01 01:03:24,-34.4187,19.2345,60.91,81,100,10.8
20,Faanui,PF,2021-11-01 01:03:24,-16.4833,-151.75,78.76,74,95,17.05
21,Mahebourg,MU,2021-11-01 01:03:26,-20.4081,57.7,70.25,88,40,3.44
